fid,ext,tipo_infra,fluxo_infr,inicio,contabilizar,vias,area_plane,local_infr,final,SHAPE__Length,rp,status,cod_rp,score_infra,cluster_seguranca,score_seguranca_final,safety_score_refinado,safety_score_final_v2
461,0.24408143,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Avenida Gilka Machado,Sim,Avenida das Américas,4,Na calçada,Esquina com Rua Sérgio Branco Soares,244.057106144464,BARRA DA TIJUCA,IMPLANTADA,4.2,4,1,9.5,9.5,9.5
462,0.43667493,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 15.801,Sim,Avenida das Américas,4,Na calçada,Esquina com Estrada Benvindo de Novaes,436.633689736786,BARRA DA TIJUCA,IMPLANTADA,4.2,4,1,9.5,9.5,9.5
463,0.74857763,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Praça das Nações,Sim,Avenida Paris,3,No bordo direito da pista,Avenida Brasil,748.575767681556,RAMOS,IMPLANTADA,3.1,3,2,2.5,1.0,1.0
464,0.94390535,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Praça São João Berchmans,Sim,Avenida Meriti,3,No canteiro central,Avenida São Felix ,943.878452033951,PENHA,IMPLANTADA,3.5,4,2,2.5,3.0,3.0
465,0.53465235,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Em frente ao Instituto de Geociências da UFRJ,Sim,Rua Lobo Carneiro,3,Na calçada,Início da Ponte Oswaldo Cruz (sentido Barra da Tijuca) ,534.655176018889,ILHA DO GOVERNADOR,IMPLANTADA,3.7,4,2,2.5,2.5,2.5
466,0.35330002,CICLOFAIXA,BIDIRECIONAL,Avenida Rodrigues Alves,Sim,Avenida Barão de Tefé,1,No bordo esquerdo da pista,Rua Sacadura Cabral,353.309752432536,CENTRO,IMPLANTADA,1.1,2,2,2.5,1.0,1.0
468,0.22168495,CICLOFAIXA,UNIDIRECIONAL,Rua Alberto de Campos,Sim,Rua Vinícius de Moraes,2,No bordo direito da pista,Avenida Epitácio Pessoa,221.689225866935,IPANEMA,IMPLANTADA,2.1,2,0,6.0,4.5,5.0
471,1.21023405,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,"Rua Visconde de Inhauma, oposto ao número 95",Sim,Avenida Marechal Floriano,1,No meio da pista,Praça Cristiano Otoni,1210.26800752353,CENTRO,IMPLANTADA,1.1,3,2,2.5,1.0,1.0
472,0.08828031,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Lúcio Costa,Sim,Avenida Afonso de Taunay,4,Na calçada,Número 33,88.2776007930492,BARRA DA TIJUCA,IMPLANTADA,4.2,4,2,2.5,2.5,2.5
474,0.18255665,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Avenida Alda Garrido,Sim,Rua General Ivan Raposo,4,No bordo esquerdo da pista,Número 644,182.551030877752,BARRA DA TIJUCA,IMPLANTADA,4.2,3,2,2.5,1.0,1.0
475,0.67472725,CICLOFAIXA,UNIDIRECIONAL,Avenida Epitácio Pessoa,Sim,Rua Maria Quitéria,2,No bordo direito da pista,Rua Prudente de Moraes,674.73888828656,IPANEMA,IMPLANTADA,2.1,2,0,6.0,4.5,5.0
476,0.22294735,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Número 33,Sim,Avenida Afonso de Taunay,4,No meio da pista,Avenida Monsenhor Ascânio,222.940430752344,BARRA DA TIJUCA,IMPLANTADA,4.2,3,2,2.5,1.0,1.0
477,0.51972734,CICLOFAIXA,BIDIRECIONAL,Avenida Monsenhor Ascânio,Sim,Avenida Afonso de Taunay,4,No bordo direito da pista,Avenida Armando Lombardi,519.71157192073,BARRA DA TIJUCA,IMPLANTADA,4.2,2,2,2.5,1.0,1.0
480,0.17929029,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo ao Barra Garden Shopping,Sim,Avenida das Américas,4,Na calçada,Rua Ricardo Serran,179.282644298668,BARRA DA TIJUCA,IMPLANTADA,4.2,4,2,2.5,2.5,2.5
481,2.45598996,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Ricardo Serran,Sim,Avenida das Américas,4,Na calçada,Número 411,2455.89731346384,BARRA DA TIJUCA,IMPLANTADA,4.2,4,2,2.5,2.5,2.5
482,0.39174493,CICLOFAIXA,BIDIRECIONAL,Avenida Presidente Kubitschek,Sim,Rua Visconde de Inhauma,1,No bordo esquerdo da pista,Oposto ao número 95,391.757308200379,CENTRO,IMPLANTADA,1.1,2,2,2.5,1.0,1.0
483,0.39456615,CICLOFAIXA,BIDIRECIONAL,Avenida Rio Branco,Sim,Avenida Nilo Peçanha,1,No bordo esquerdo da pista,Avenida Presidente Antônio Carlos,394.579028737925,CENTRO,IMPLANTADA,1.1,2,2,2.5,1.0,1.0
484,0.12092586,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Nilo Peçanha,Sim,Avenida Presidente Antônio Carlos,1,Na calçada,Avenida Erasmo Braga,120.929911426746,CENTRO,IMPLANTADA,1.1,4,2,2.5,2.5,2.5
485,0.13306979,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Avenida Presidente Antônio Carlos,Sim,Avenida Erasmo Braga,1,No meio da pista,Rua Dom Manuel,133.074336587376,CENTRO,IMPLANTADA,1.1,3,2,2.5,1.0,1.0
486,0.13038227,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Avenida Erasmo Braga,Sim,Rua Dom Manuel,1,No meio da pista,Rua da Assembléia,130.386590378765,CENTRO,IMPLANTADA,1.1,3,2,2.5,1.0,1.0
