infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Ciclofaixa,Bidirecional,RUA DAS OFICINAS,Oposto ao número 84,"Rua das Oficinas, oposto ao número 171",MÉIER,"241,607772650496",3,"23,2","0,0","1,0","2,0","2,5","8,5","54,9",Alta segurança,verde
Ciclofaixa,Não identificado,AVENIDA RADIAL OESTE,Rua Professor Manoel de Abreu,Avenida Maracanã,TIJUCA,"687,124940594702",2,"224,8","117,0","1,0","1,0","10,0","1,0","342,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA DAS OFICINAS,Oposto ao número 171,"Rua José dos Reis, oposto ao número 423",MÉIER,"245,211460145952",3,"23,2","0,0","1,0","2,0","2,5","8,5","54,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA ATHOS DA SILVEIRA RAMOS,Número 852,Avenida Horácio Macedo,ILHA DO GOVERNADOR,"647,214744165617",3,"0,0","0,0","2,0","1,0","2,5","8,5","4,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA HORÁCIO MACEDO,Número 4390 - Canteiro central,Número 3111 - Canteiro central,ILHA DO GOVERNADOR,"501,161468523848",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA HORÁCIO MACEDO,Número 662,"Avenida Pedro Calmon, número 429",ILHA DO GOVERNADOR,"360,990303800085",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Ciclofaixa,Bidirecional,RUA PASCOAL LEMME,Rua Paulo Emídio Barbosa,Rua Afrânio Coutinho,ILHA DO GOVERNADOR,"209,127130183552",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Ciclofaixa,Bidirecional,AVENIDA CARLOS CHAGAS FILHO,S/N Centro de Ciências da Saúde,S/N Escola de Ed. Física e Desportos,ILHA DO GOVERNADOR,"55,7964560182485",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Ciclovia,Bidirecional,RUA ALOÍSIO TEIXEIRA,Esquina Rua Paulo Emídio Barbosa,"Rua Aloísio Teixeira, próximo ao TechnipFMC",ILHA DO GOVERNADOR,"167,698182084292",3,"0,0","0,0","1,0","1,0","2,5","8,5","3,6",Alta segurança,verde
Faixa compartilhada na pista,Bidirecional,RUA MANOEL FROTA MOREIRA,Rua César Pernetta,Avenida Carlos Chagas Filho,ILHA DO GOVERNADOR,"484,76913539945",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Ciclovia,Bidirecional,AVENIDA CARLOS CHAGAS FILHO,Rua Dezenove,Rua Largo Wando de Oliveira,ILHA DO GOVERNADOR,"670,53207595472",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Ciclofaixa,Bidirecional,RUA MAJOR ÁVILA,Número 200,Avenida Maracanã,TIJUCA,"490,069308050173",2,"224,8","117,0","1,2","2,0","1,5","9,5","829,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA LEOPOLDO BULHÕES,Número 1.480,Rua Maravilha,RAMOS,"443,421915305467",3,"30,0","0,0","1,5","4,0","2,5","8,5","188,5",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA LEOPOLDO BULHÕES,Número 1.480,Rua Maravilha,RAMOS,"47,5164001441214",3,"30,0","0,0","1,5","4,0","2,5","8,5","188,5",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",ESTRADA DA BICA,Esquina Rua Ipiru,"Estrada do Rio Jequiá, oposto ao número 1710",ILHA DO GOVERNADOR,"319,519813637815",3,"0,0","0,0","1,2","2,0","4,5","6,5","4,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO RIO JEQUIÁ,Oposto ao número 1710,Número 46,ILHA DO GOVERNADOR,"1537,06024952299",3,"0,0","0,0","1,2","3,0","2,5","8,5","6,1",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",AVENIDA PARANAPUÃ,Rua Mareante,"Avenida do Magistério, oposto ao número 615",ILHA DO GOVERNADOR,"1609,53531119347",3,"0,0","0,0","1,2","2,0","4,5","6,5","4,4",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA CARLOS CHAGAS FILHO,Próximo ao CENPES,Rua Dezenove,ILHA DO GOVERNADOR,"962,38841635078",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
