fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
116,0.73471128,Faixa compartilhada na pista,,Não identificado,Rua da Reverência,Sim,,Rua da Ventura,4,Não identificado,,Rua André Rocha,734.664804513917,Jacarepaguá,Implantada,4.1
117,0.1996979,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis","Rua Mandina, em torno da Praça Delfos",Sim,,Praça Delfos,4,No bordo direito da pista,,"Rua Creso, em torno da Praça Delfos",199.685457618644,Jacarepaguá,Implantada,4.1
118,0.05202122,Faixa compartilhada na pista,,"Unidirecional, no contrafluxo dos automóveis","Rua João Bruno Lobo, em torno da Praça do Bandolim",Sim,,Praça do Bandolim,4,No bordo esquerdo da pista,,"Rua Mandina, em torno da Praça do Bandolim",52.0180587943934,Jacarepaguá,Implantada,4.1
119,0.26876539,Faixa compartilhada na calçada,,Bidirecional,Praça Professora Nídea Otero,Sim,,Estrada do Tindiba,4,Na calçada,,Número 3147,268.749580759249,Jacarepaguá,Implantada,4.1
120,0.58166767,Faixa compartilhada na pista,,"Unidirecional, no contrafluxo dos automóveis",Rua Soldado Bruno Estrífica,Sim,,Rua Rodolfo Portugal Milward,4,No bordo esquerdo da pista,,Rua da Reverência,581.631140080252,Jacarepaguá,Implantada,4.1
121,0.4411789,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Próximo a Praça Delfos,Sim,,Rua Creso,4,Não identificado,,Número 17,441.151123048264,Jacarepaguá,Implantada,4.1
122,0.60105917,Faixa compartilhada na pista,,Não identificado,Praça do Bandolim,Sim,,Rua Mandina,4,Não identificado,,Praça Delfo,601.0221860715,Jacarepaguá,Implantada,4.1
123,0.2450006,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua João Bruno Lobo,Sim,,Rua Diógenes,4,No bordo direito da pista,,Rua Delfos,244.985733442571,Jacarepaguá,Implantada,4.1
124,0.15286651,Faixa compartilhada na pista,,Não identificado,Rua Rodolfo Portugal Milward,Sim,,Rua Soldado Bruno Estrifica,4,Não identificado,,Rua João Bruno Lobo,152.857255553049,Jacarepaguá,Implantada,4.1
125,0.21415626,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 57,Sim,,Rua Isidro de Figueiredo,2,No meio da pista,,Número 03,214.157676603737,Tijuca,Implantada,2.2
