Ano;Logradouro;Delito;Total
2020;Avenida Amaro Cavalcanti;Lesão corporal culposa - trânsito;14
2020;Avenida Antares;Acidente de trânsito;18
2020;Avenida Antares;Lesão corporal culposa - trânsito;16
2020;Avenida Atlantica;Acidente de trânsito;17
2020;Avenida Atlantica;Lesão corporal culposa - trânsito;20
2020;Avenida Ayrton Senna;Acidente de trânsito;57
2020;Avenida Ayrton Senna;Homicídio culposo - trânsito;13
2020;Avenida Ayrton Senna;Lesão corporal culposa - trânsito;55
2020;Avenida Borges De Medeiros;Acidente de trânsito;11
2020;Avenida Borges De Medeiros;Lesão corporal culposa - trânsito;11
2020;Avenida Bras De Pina;Acidente de trânsito;23
2020;Avenida Bras De Pina;Atropelamento;18
2020;Avenida Bras De Pina;Lesão corporal culposa - trânsito;38
2020;Avenida Brasil;Acidente de trânsito;490
2020;Avenida Brasil;Atropelamento;73
2020;Avenida Brasil;Conduzir veículo embriagado ou sob efeito de drogas;10
2020;Avenida Brasil;Falta de habilitação;11
2020;Avenida Brasil;Homicídio culposo - trânsito;89
2020;Avenida Brasil;Lesão corporal culposa - trânsito;479
2020;Avenida Cesario De Melo;Acidente de trânsito;82
2020;Avenida Cesario De Melo;Atropelamento;13
2020;Avenida Cesario De Melo;Homicídio culposo - trânsito;11
2020;Avenida Cesario De Melo;Lesão corporal culposa - trânsito;85
2020;Avenida Das Americas;Acidente de trânsito;180
2020;Avenida Das Americas;Atropelamento;24
2020;Avenida Das Americas;Lesão corporal culposa - trânsito;197
2020;Avenida De Santa Cruz;Acidente de trânsito;93
2020;Avenida De Santa Cruz;Atropelamento;17
2020;Avenida De Santa Cruz;Homicídio culposo - trânsito;14
2020;Avenida De Santa Cruz;Lesão corporal culposa - trânsito;99
2020;Avenida Dom Helder Camara;Acidente de trânsito;117
2020;Avenida Dom Helder Camara;Atropelamento;18
2020;Avenida Dom Helder Camara;Lesão corporal culposa - trânsito;133
2020;Avenida Dom Joao Vi;Acidente de trânsito;41
2020;Avenida Dom Joao Vi;Lesão corporal culposa - trânsito;41
2020;Avenida Dos Democraticos;Acidente de trânsito;13
2020;Avenida Dos Democraticos;Lesão corporal culposa - trânsito;15
2020;Avenida Dos Italianos;Acidente de trânsito;35
2020;Avenida Dos Italianos;Lesão corporal culposa - trânsito;34
2020;Avenida Duque De Caxias;Acidente de trânsito;19
2020;Avenida Duque De Caxias;Lesão corporal culposa - trânsito;19
2020;Avenida Edson Passos;Acidente de trânsito;12
2020;Avenida Edson Passos;Lesão corporal culposa - trânsito;11
2020;Avenida Embaixador Abelardo Bueno;Acidente de trânsito;27
2020;Avenida Embaixador Abelardo Bueno;Lesão corporal culposa - trânsito;26
2020;Avenida Engenheiro Soua Filho;Lesão corporal culposa - trânsito;10
2020;Avenida Francisco Bicalho;Acidente de trânsito;22
2020;Avenida Francisco Bicalho;Lesão corporal culposa - trânsito;26
2020;Avenida General Justo;Acidente de trânsito;11
2020;Avenida General Justo;Lesão corporal culposa - trânsito;11
2020;Avenida Geremario Dantas;Acidente de trânsito;32
2020;Avenida Geremario Dantas;Lesão corporal culposa - trânsito;36
2020;Avenida Governador Carlos Lacerda;Acidente de trânsito;23
2020;Avenida Governador Carlos Lacerda;Lesão corporal culposa - trânsito;23
2020;Avenida Infante Dom Henrique;Acidente de trânsito;20
2020;Avenida Infante Dom Henrique;Atropelamento;18
2020;Avenida Infante Dom Henrique;Lesão corporal culposa - trânsito;33
2020;Avenida Itaoca;Acidente de trânsito;20
2020;Avenida Itaoca;Lesão corporal culposa - trânsito;28
2020;Avenida Joao Ribeiro;Acidente de trânsito;21
